year,income
1967,53.33819588
1968,64.83917991
1969,74.3422146
1970,79.41345543
1971,78.86575674
1972,90.51205917
1973,130.4897437
1974,201.6676706
1975,232.1706348
1976,277.0507928
1977,332.2820539
1978,364.2857906
1979,355.2359511
1980,489.1601963
1981,563.7833647
1982,580.8105956
1983,510.4349866
1984,522.7171467
1985,514.4376638
1986,472.7226388
1987,440.3723783
1988,479.8107166
1989,527.8114773
1990,582.6789678
1991,629.1606798
1992,678.977737
1993,824.079149
1994,907.4717857
1995,1020.146681
1996,1129.09271
1997,1054.347358
1998,459.1918631
1999,663.5232299
2000,770.8653516
2001,739.0039465
2002,888.9013897
2003,1052.413199
2004,1136.755211
2005,1249.397689
2006,1572.797934
2007,1840.329927
2008,2144.389544
2009,2239.095265
2010,3094.44309
2011,3613.800902
2012,3668.21207
2013,3602.885517
2014,3476.624853
2015,3322.581688
2016,3558.818852
2017,3839.785069
2018,3902.661668
2019,4151.227543
2020,3894.272202
2021,4332.709281
