year,ghg
1945,60681280
1946,60714136
1947,62892220
1948,63594736
1949,64838664
1950,57451124
1951,53969012
1952,51898490
1953,49432748
1954,49454932
1955,49621784
1956,49465424
1957,45135584
1958,46032132
1959,41532900
1960,42973444
1961,52991252
1962,67049396
1963,72963850
1964,89478190
1965,82340490
1966,85764510
1967,98436210
1968,96172400
1969,102574310
1970,111143920
1971,118240520
1972,118416530
1973,116450300
1974,123827976
1975,127291340
1976,140279100
1977,132467690
1978,157406160
1979,162482290
1980,161255340
1981,158902430
1982,155853660
1983,159825280
1984,181971100
1985,228256370
1986,273552200
1987,302495870
1988,320716700
1989,292706900
1990,258934850
1991,245616000
1992,240306830
1993,251503520
1994,252914700
1995,262985180
1996,253625680
1997,255626180
1998,251036780
1999,226962380
2000,244217120
2001,253079540
2002,266685200
2003,286917860
2004,300541660
2005,307384800
2006,305000400
2007,314385470
2008,344098370
2009,362255230
2010,383019100
2011,409698880
2012,421350980
2013,453213060
2014,492336000
2015,463706600
2016,449578980
2017,434477340
2018,446255780
2019,443135900
2020,433064160
2021,428738370
